--------- beginning of main
02-12 21:48:54.623 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:54.623 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:54.714 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:54.716 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:54.716 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:54.816 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:54.827 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:54.827 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:54.911 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:54.913 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:54.913 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:55.011 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:55.013 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:55.013 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:55.015 D/OverlayService( 5517): Watchdog: Drift detected! Dist=752.0, Threshold=67.5. Snapping back to anchor.
02-12 21:48:55.118 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:55.120 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:55.120 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1760, safeZoneY=1008, newY=1008, willMove=true
02-12 21:48:55.120 I/KeyboardManager( 5517): POSITION_CHANGE: reason=KEYBOARD_SHOW, pre_position=(814, 1760), post_position=(814, 1008)
02-12 21:48:55.195 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:55.197 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:55.197 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:55.327 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:55.329 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:55.329 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:55.401 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:55.403 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:55.403 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:55.537 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:55.539 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:55.539 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:55.603 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:55.604 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
